Blob hydrophobicity  class,Hydrophobicity cutoff,total SNPs,Blob length,Enrichment ,p value
h,0.02,12,93,0.26,4.31E-02
h,0.02,25,94,0.41,1.80E-02
h,0.02,24,95,0.54,1.24E-01
h,0.02,16,96,0.3,2.44E-02
h,0.02,37,97,0.07,1.64E-09
h,0.02,41,98,0.75,3.13E-01
h,0.02,35,99,0.08,6.68E-09
h,0.02,29,100,0.8,5.88E-01
h,0.03,1,4,0.0,1.00E+00
h,0.03,1,5,0.0,1.00E+00
h,0.03,6,6,1.31,5.04E-01
h,0.03,3,7,2.61,1.79E-01
h,0.03,2,8,0.0,4.15E-01
h,0.03,5,9,1.96,1.99E-01
h,0.03,2,10,0.0,4.15E-01
h,0.03,5,11,0.0,3.84E-02
h,0.03,2,12,1.31,5.35E-01
h,0.03,4,13,0.44,7.35E-01
h,0.03,7,14,0.0,8.31E-03
h,0.03,7,15,1.74,3.01E-01
h,0.03,2,16,1.31,5.35E-01
h,0.03,8,17,0.19,5.14E-02
h,0.03,12,18,1.83,1.16E-01
h,0.03,4,19,3.92,4.27E-02
h,0.03,14,20,0.36,5.73E-02
h,0.03,5,21,0.0,3.84E-02
h,0.03,8,22,0.0,3.89E-03
h,0.03,7,23,0.98,1.00E+00
h,0.03,8,24,0.78,1.00E+00
h,0.03,18,25,0.26,7.12E-03
h,0.03,20,26,0.7,4.28E-01
h,0.03,10,27,0.56,5.10E-01
h,0.03,9,28,0.0,1.83E-03
h,0.03,9,29,0.16,3.87E-02
h,0.03,4,30,0.0,8.35E-02
h,0.03,11,31,0.0,4.06E-04
h,0.03,14,32,1.31,3.90E-01
h,0.03,12,33,0.65,5.42E-01
h,0.03,9,34,0.0,1.83E-03
h,0.03,16,35,2.18,2.95E-02
h,0.03,19,36,1.17,5.85E-01
h,0.03,4,37,1.31,6.69E-01
h,0.03,7,38,0.98,1.00E+00
h,0.03,6,39,0.26,1.99E-01
h,0.03,13,40,0.82,8.40E-01
h,0.03,31,41,2.74,5.19E-05
h,0.03,11,42,0.29,5.64E-02
h,0.03,12,43,0.44,1.79E-01
h,0.03,5,44,0.87,1.00E+00
h,0.03,11,45,0.0,4.06E-04
h,0.03,9,46,0.37,1.92E-01
h,0.03,13,47,0.11,2.39E-03
h,0.03,11,48,0.29,5.64E-02
h,0.03,17,49,0.17,1.64E-03
h,0.03,19,50,0.15,4.27E-04
h,0.03,16,51,0.78,7.17E-01
h,0.03,20,52,0.7,4.28E-01
h,0.03,22,53,0.61,2.35E-01
h,0.03,14,54,0.98,1.00E+00
h,0.03,31,55,3.75,1.45E-07
h,0.03,50,56,4.63,1.70E-14
h,0.03,21,57,1.74,8.08E-02
h,0.03,17,58,0.28,1.32E-02
h,0.03,12,59,0.65,5.42E-01
h,0.03,17,60,0.91,1.00E+00
