Blob hydrophobicity  class,Hydrophobicity cutoff,total SNPs,Blob length,Enrichment ,p value
h,0.13,503,56,1.14,5.45E-02
h,0.13,609,57,1.13,3.88E-02
h,0.13,506,58,0.71,1.22E-06
h,0.13,451,59,0.96,5.94E-01
h,0.13,470,60,0.9,1.58E-01
h,0.13,543,61,1.2,4.17E-03
h,0.13,432,62,0.77,5.72E-04
h,0.13,442,63,1.01,8.56E-01
h,0.13,444,64,0.95,4.97E-01
h,0.13,474,65,0.87,4.51E-02
h,0.13,485,66,1.02,7.28E-01
h,0.13,364,67,0.72,7.28E-05
h,0.13,437,68,0.86,3.74E-02
h,0.13,412,69,1.17,2.93E-02
h,0.13,491,70,1.3,7.76E-05
h,0.13,474,71,1.42,1.76E-07
h,0.13,393,72,1.22,7.03E-03
h,0.13,438,73,1.72,3.19E-15
h,0.13,422,74,1.2,1.20E-02
h,0.13,467,75,1.4,5.29E-07
h,0.13,362,76,0.87,1.02E-01
h,0.13,391,77,1.05,5.34E-01
h,0.13,311,78,0.62,2.25E-07
h,0.13,388,79,1.37,1.72E-05
h,0.13,419,80,1.11,1.37E-01
h,0.13,298,81,0.69,6.80E-05
h,0.13,331,82,1.16,6.25E-02
h,0.13,329,83,0.78,4.57E-03
h,0.13,415,84,1.12,1.07E-01
h,0.13,323,85,0.94,4.78E-01
h,0.13,343,86,1.17,5.02E-02
h,0.13,358,87,1.14,8.92E-02
h,0.13,375,88,1.51,4.09E-08
h,0.13,243,89,0.82,6.05E-02
h,0.13,367,90,1.93,1.37E-18
h,0.13,470,91,1.6,1.74E-12
h,0.13,307,92,1.4,4.98E-05
h,0.13,233,93,0.87,1.76E-01
h,0.13,289,94,1.11,2.16E-01
h,0.13,311,95,1.51,4.97E-07
h,0.13,261,96,1.3,4.31E-03
h,0.13,318,97,1.5,7.11E-07
h,0.13,221,98,0.9,3.17E-01
h,0.13,319,99,1.92,3.65E-16
h,0.13,319,100,2.05,2.03E-19
h,0.14,51,1,0.99,1.00E+00
h,0.14,28,2,0.44,1.74E-02
h,0.14,394,3,0.66,2.69E-07
h,0.14,305,4,0.52,1.22E-11
h,0.14,361,5,0.47,2.25E-17
h,0.14,494,6,0.79,1.33E-03
h,0.14,525,7,0.8,1.45E-03
h,0.14,589,8,0.69,2.19E-08
h,0.14,548,9,0.65,4.01E-10
h,0.14,611,10,0.99,8.54E-01
h,0.14,703,11,0.74,6.59E-07
h,0.14,653,12,0.72,2.09E-07
h,0.14,785,13,0.88,2.09E-02
h,0.14,688,14,0.86,1.03E-02
h,0.14,728,15,1.0,9.77E-01
h,0.14,677,16,0.75,3.56E-06
h,0.14,703,17,0.79,1.06E-04
h,0.14,701,18,0.78,2.69E-05
h,0.14,773,19,0.77,4.37E-06
h,0.14,830,20,0.77,1.70E-06
h,0.14,782,21,0.78,1.24E-05
h,0.14,746,22,0.96,4.71E-01
h,0.14,663,23,0.77,3.04E-05
h,0.14,756,24,0.79,2.28E-05
h,0.14,783,25,0.83,1.01E-03
h,0.14,826,26,0.82,2.86E-04
h,0.14,981,27,0.94,2.19E-01
h,0.14,732,28,0.99,8.22E-01
h,0.14,807,29,0.95,3.66E-01
h,0.14,652,30,0.68,5.90E-10
h,0.14,780,31,1.11,5.37E-02
h,0.14,767,32,0.96,4.77E-01
h,0.14,797,33,0.94,2.40E-01
h,0.14,743,34,0.84,3.18E-03
h,0.14,735,35,0.92,1.28E-01
h,0.14,717,36,0.96,4.46E-01
h,0.14,670,37,0.86,1.62E-02
h,0.14,646,38,0.88,3.54E-02
h,0.14,657,39,0.92,1.52E-01
h,0.14,664,40,1.04,4.55E-01
h,0.14,613,41,0.76,2.01E-05
h,0.14,712,42,1.2,1.04E-03
h,0.14,667,43,0.9,9.91E-02
h,0.14,627,44,0.97,6.28E-01
h,0.14,611,45,1.11,7.70E-02
h,0.14,637,46,1.18,5.27E-03
h,0.14,647,47,0.97,6.55E-01
h,0.14,665,48,1.04,4.92E-01
h,0.14,533,49,0.9,1.37E-01
h,0.14,569,50,1.11,8.27E-02
h,0.14,643,51,1.14,2.37E-02
h,0.14,704,52,1.12,4.49E-02
h,0.14,575,53,1.4,2.26E-08
h,0.14,482,54,0.81,4.19E-03
h,0.14,596,55,1.07,2.40E-01
h,0.14,497,56,1.04,5.12E-01
h,0.14,576,57,1.05,4.22E-01
h,0.14,519,58,0.8,1.70E-03
h,0.14,453,59,0.94,4.37E-01
h,0.14,437,60,0.99,9.71E-01
h,0.14,566,61,1.3,2.78E-05
h,0.14,476,62,1.0,9.44E-01
h,0.14,456,63,1.07,3.47E-01
h,0.14,445,64,0.92,2.71E-01
h,0.14,515,65,1.1,1.60E-01
h,0.14,427,66,0.86,5.35E-02
h,0.14,367,67,0.65,3.44E-07
h,0.14,422,68,1.02,7.94E-01
h,0.14,352,69,1.09,2.82E-01
h,0.14,523,70,1.34,4.75E-06
h,0.14,483,71,1.29,1.50E-04
h,0.14,343,72,1.11,1.78E-01
h,0.14,421,73,1.66,4.43E-13
h,0.14,446,74,1.39,1.89E-06
h,0.14,443,75,1.42,3.63E-07
h,0.14,362,76,0.94,5.27E-01
h,0.14,402,77,1.25,2.04E-03
h,0.14,317,78,0.72,3.51E-04
h,0.14,354,79,1.28,1.76E-03
h,0.14,468,80,1.73,1.11E-16
h,0.14,313,81,0.8,1.36E-02
h,0.14,319,82,1.22,1.60E-02
h,0.14,308,83,1.02,8.28E-01
h,0.14,391,84,1.37,2.29E-05
h,0.14,265,85,0.97,8.16E-01
h,0.14,350,86,1.87,3.99E-16
h,0.14,340,87,1.19,3.17E-02
h,0.14,284,88,1.01,8.92E-01
h,0.14,298,89,1.81,1.07E-12
h,0.14,380,90,1.74,6.66E-14
h,0.14,378,91,1.31,3.93E-04
h,0.14,231,92,1.51,1.48E-05
h,0.14,225,93,1.2,5.66E-02
h,0.14,283,94,1.19,4.79E-02
h,0.14,277,95,1.71,5.62E-10
h,0.14,253,96,1.12,2.02E-01
h,0.14,267,97,1.38,3.55E-04
h,0.14,211,98,1.01,9.16E-01
h,0.14,286,99,1.89,7.36E-14
h,0.14,291,100,1.64,5.64E-09
h,0.15,58,1,0.99,1.00E+00
h,0.15,34,2,0.4,4.71E-03
h,0.15,401,3,0.64,3.84E-08
h,0.15,318,4,0.51,6.75E-13
h,0.15,377,5,0.45,3.26E-19
h,0.15,507,6,0.82,3.83E-03
h,0.15,553,7,0.79,5.27E-04
h,0.15,600,8,0.68,4.89E-09
h,0.15,561,9,0.64,3.96E-11
h,0.15,634,10,0.98,7.86E-01
h,0.15,723,11,0.73,1.38E-07
h,0.15,667,12,0.73,4.72E-07
h,0.15,806,13,0.9,5.47E-02
h,0.15,698,14,0.81,5.31E-04
h,0.15,750,15,0.97,5.61E-01
h,0.15,704,16,0.76,5.92E-06
h,0.15,735,17,0.82,4.86E-04
h,0.15,733,18,0.81,3.22E-04
h,0.15,798,19,0.79,2.32E-05
h,0.15,834,20,0.77,1.25E-06
h,0.15,816,21,0.81,1.47E-04
h,0.15,765,22,0.96,4.60E-01
h,0.15,677,23,0.74,7.37E-07
h,0.15,786,24,0.8,4.88E-05
h,0.15,802,25,0.79,2.69E-05
h,0.15,856,26,0.81,1.26E-04
h,0.15,994,27,0.95,2.70E-01
h,0.15,741,28,0.97,5.59E-01
h,0.15,812,29,0.92,1.14E-01
h,0.15,667,30,0.73,2.71E-07
h,0.15,799,31,1.14,1.44E-02
h,0.15,776,32,0.95,3.29E-01
h,0.15,805,33,0.96,4.55E-01
h,0.15,774,34,0.9,6.02E-02
h,0.15,742,35,0.93,2.14E-01
h,0.15,749,36,1.05,3.67E-01
h,0.15,694,37,0.86,9.05E-03
h,0.15,668,38,0.9,7.36E-02
h,0.15,673,39,0.92,1.93E-01
h,0.15,652,40,1.05,4.33E-01
h,0.15,632,41,0.77,2.60E-05
h,0.15,728,42,1.2,1.08E-03
h,0.15,677,43,0.9,7.54E-02
h,0.15,614,44,0.98,7.59E-01
h,0.15,626,45,1.13,3.30E-02
h,0.15,650,46,1.14,2.45E-02
h,0.15,650,47,0.93,2.63E-01
h,0.15,743,48,1.21,3.54E-04
h,0.15,557,49,0.97,6.31E-01
h,0.15,563,50,1.17,1.25E-02
h,0.15,673,51,1.17,6.10E-03
h,0.15,725,52,1.2,9.40E-04
h,0.15,564,53,1.37,2.95E-07
h,0.15,472,54,0.78,8.33E-04
h,0.15,608,55,1.06,3.64E-01
h,0.15,540,56,1.25,4.85E-04
h,0.15,574,57,1.08,2.07E-01
h,0.15,514,58,0.8,1.80E-03
h,0.15,451,59,0.88,9.34E-02
h,0.15,449,60,1.02,7.73E-01
h,0.15,558,61,1.36,5.59E-07
h,0.15,485,62,1.1,1.47E-01
h,0.15,439,63,0.97,6.91E-01
h,0.15,420,64,0.93,3.79E-01
h,0.15,506,65,1.07,3.02E-01
h,0.15,425,66,0.88,9.10E-02
h,0.15,362,67,0.71,3.82E-05
h,0.15,404,68,1.02,7.90E-01
h,0.15,353,69,1.12,1.46E-01
h,0.15,479,70,1.24,1.66E-03
h,0.15,483,71,1.29,1.50E-04
h,0.15,347,72,1.18,3.37E-02
h,0.15,431,73,1.62,2.98E-12
h,0.15,432,74,1.47,3.30E-08
h,0.15,434,75,1.47,2.88E-08
h,0.15,376,76,1.03,6.64E-01
h,0.15,402,77,1.28,7.26E-04
h,0.15,281,78,0.67,3.10E-05
h,0.15,341,79,1.33,3.52E-04
h,0.15,451,80,1.76,5.92E-17
h,0.15,317,81,0.82,2.40E-02
h,0.15,302,82,1.16,8.52E-02
h,0.15,288,83,0.92,3.78E-01
h,0.15,387,84,1.37,2.50E-05
h,0.15,267,85,0.93,4.63E-01
h,0.15,351,86,1.71,3.31E-12
h,0.15,320,87,1.23,1.25E-02
h,0.15,281,88,1.05,6.14E-01
h,0.15,210,89,1.08,4.55E-01
h,0.15,350,90,1.51,7.92E-08
h,0.15,389,91,1.34,8.38E-05
h,0.15,234,92,1.72,7.42E-09
h,0.15,219,93,1.2,6.07E-02
h,0.15,301,94,1.4,5.14E-05
h,0.15,245,95,1.63,1.23E-07
h,0.15,232,96,1.06,5.44E-01
h,0.15,259,97,1.44,5.41E-05
h,0.15,211,98,0.99,1.00E+00
h,0.15,283,99,1.96,1.87E-15
h,0.15,283,100,1.65,5.98E-09
h,0.16,71,1,0.75,1.72E-01
h,0.16,46,2,0.77,3.38E-01
h,0.16,482,3,0.67,7.37E-08
h,0.16,378,4,0.52,1.87E-14
h,0.16,401,5,0.48,6.76E-18
h,0.16,575,6,0.78,1.55E-04
h,0.16,648,7,0.81,6.29E-04
h,0.16,656,8,0.64,8.29E-13
h,0.16,618,9,0.69,1.05E-08
h,0.16,734,10,0.92,1.35E-01
h,0.16,818,11,0.76,1.01E-06
h,0.16,720,12,0.79,7.31E-05
h,0.16,899,13,0.93,1.60E-01
h,0.16,811,14,0.98,6.70E-01
h,0.16,816,15,0.91,7.91E-02
h,0.16,776,16,0.86,9.13E-03
h,0.16,818,17,0.86,5.60E-03
h,0.16,822,18,0.91,8.94E-02
h,0.16,880,19,0.77,6.05E-07
h,0.16,901,20,0.79,4.44E-06
h,0.16,862,21,0.81,1.08E-04
h,0.16,807,22,0.91,9.66E-02
h,0.16,784,23,0.72,8.20E-09
h,0.16,816,24,0.92,1.41E-01
h,0.16,855,25,0.93,1.81E-01
h,0.16,878,26,0.76,2.20E-07
h,0.16,1037,27,1.1,4.16E-02
h,0.16,839,28,1.1,7.14E-02
h,0.16,852,29,0.95,3.01E-01
h,0.16,740,30,0.78,1.90E-05
h,0.16,911,31,1.14,9.18E-03
h,0.16,836,32,0.99,9.16E-01
h,0.16,785,33,0.9,6.57E-02
h,0.16,810,34,0.85,3.62E-03
h,0.16,774,35,0.97,6.04E-01
h,0.16,832,36,1.13,1.32E-02
h,0.16,711,37,0.89,4.43E-02
h,0.16,718,38,1.07,2.03E-01
h,0.16,692,39,0.92,1.89E-01
h,0.16,738,40,1.26,2.58E-05
h,0.16,622,41,0.7,3.99E-08
h,0.16,773,42,1.16,6.46E-03
h,0.16,684,43,1.0,9.77E-01
h,0.16,647,44,0.97,6.55E-01
h,0.16,670,45,1.24,1.80E-04
h,0.16,674,46,1.1,9.89E-02
h,0.16,658,47,0.91,1.15E-01
h,0.16,698,48,1.1,9.28E-02
h,0.16,632,49,1.14,2.44E-02
h,0.16,582,50,1.21,1.91E-03
h,0.16,721,51,0.99,8.87E-01
h,0.16,702,52,1.45,9.09E-12
h,0.16,550,53,1.29,5.49E-05
h,0.16,476,54,0.77,3.83E-04
h,0.16,589,55,1.12,6.17E-02
h,0.16,473,56,1.06,3.94E-01
h,0.16,590,57,1.21,1.63E-03
h,0.16,506,58,0.78,3.47E-04
h,0.16,433,59,0.93,3.31E-01
h,0.16,432,60,1.14,7.63E-02
h,0.16,512,61,1.2,5.56E-03
h,0.16,492,62,1.16,3.04E-02
h,0.16,392,63,0.92,3.08E-01
h,0.16,434,64,0.86,4.34E-02
h,0.16,505,65,1.25,6.90E-04
h,0.16,424,66,0.87,7.80E-02
h,0.16,412,67,0.97,7.65E-01
h,0.16,413,68,0.99,9.11E-01
h,0.16,354,69,1.17,4.90E-02
h,0.16,449,70,1.25,1.12E-03
h,0.16,421,71,1.26,1.14E-03
h,0.16,335,72,1.24,7.72E-03
h,0.16,371,73,1.51,4.35E-08
h,0.16,372,74,1.04,6.05E-01
h,0.16,399,75,1.27,1.08E-03
h,0.16,356,76,1.08,3.45E-01
h,0.16,369,77,0.97,7.23E-01
h,0.16,325,78,1.04,6.40E-01
h,0.16,392,79,1.87,4.90E-18
h,0.16,301,80,1.1,2.43E-01
h,0.16,268,81,0.89,2.56E-01
h,0.16,250,82,0.95,6.01E-01
h,0.16,269,83,0.84,6.67E-02
h,0.16,345,84,1.25,4.35E-03
h,0.16,263,85,0.85,1.12E-01
h,0.16,317,86,1.61,5.17E-09
h,0.16,281,87,1.12,1.92E-01
h,0.16,283,88,1.17,6.72E-02
h,0.16,208,89,1.36,2.62E-03
h,0.16,317,90,1.31,8.74E-04
h,0.16,300,91,0.92,3.88E-01
h,0.16,220,92,1.62,5.86E-07
h,0.16,172,93,1.03,7.70E-01
h,0.16,292,94,1.48,5.05E-06
h,0.16,295,95,2.07,1.42E-18
h,0.16,234,96,1.1,3.10E-01
h,0.16,199,97,1.1,3.49E-01
h,0.16,171,98,0.8,7.51E-02
h,0.16,304,99,2.12,4.62E-20
h,0.16,204,100,1.28,1.53E-02
h,0.17,100,1,0.83,3.05E-01
h,0.17,64,2,0.68,7.70E-02
h,0.17,622,3,0.62,1.69E-13
h,0.17,449,4,0.52,1.43E-16
h,0.17,494,5,0.55,1.95E-15
h,0.17,746,6,0.78,1.62E-05
h,0.17,816,7,0.73,1.70E-08
h,0.17,821,8,0.74,8.22E-08
h,0.17,800,9,0.8,5.59E-05
h,0.17,932,10,0.93,1.39E-01
h,0.17,931,11,0.78,1.80E-06
h,0.17,924,12,0.89,1.98E-02
h,0.17,1048,13,0.87,4.38E-03
h,0.17,965,14,0.92,8.18E-02
h,0.17,968,15,0.88,8.50E-03
h,0.17,932,16,0.89,1.78E-02
h,0.17,953,17,0.92,1.19E-01
h,0.17,955,18,0.89,1.58E-02
h,0.17,1051,19,0.79,9.09E-07
h,0.17,1059,20,0.77,5.67E-08
h,0.17,1004,21,0.89,1.34E-02
h,0.17,920,22,0.93,1.64E-01
h,0.17,906,23,0.83,2.05E-04
h,0.17,919,24,0.99,8.41E-01
h,0.17,923,25,0.85,1.55E-03
h,0.17,949,26,0.91,7.54E-02
h,0.17,1148,27,1.18,1.45E-04
h,0.17,881,28,1.01,7.96E-01
h,0.17,953,29,1.02,6.19E-01
h,0.17,842,30,0.78,7.05E-06
h,0.17,1002,31,1.13,6.76E-03
h,0.17,936,32,1.01,8.61E-01
h,0.17,855,33,0.96,4.37E-01
h,0.17,914,34,0.86,4.42E-03
h,0.17,903,35,1.33,7.04E-09
h,0.17,822,36,0.97,6.34E-01
h,0.17,821,37,0.88,2.08E-02
h,0.17,672,38,1.03,5.53E-01
h,0.17,762,39,1.01,8.03E-01
h,0.17,746,40,1.1,8.17E-02
h,0.17,630,41,0.75,3.32E-06
h,0.17,777,42,1.17,2.37E-03
h,0.17,785,43,1.14,1.35E-02
h,0.17,712,44,1.19,1.99E-03
h,0.17,606,45,1.18,5.13E-03
h,0.17,688,46,1.32,6.64E-07
h,0.17,647,47,0.84,5.91E-03
h,0.17,641,48,1.02,7.39E-01
h,0.17,568,49,1.07,2.70E-01
h,0.17,753,50,0.85,5.98E-03
h,0.17,650,51,1.04,5.07E-01
h,0.17,699,52,1.56,3.04E-16
h,0.17,530,53,1.19,6.46E-03
h,0.17,482,54,0.91,1.96E-01
h,0.17,618,55,1.4,8.47E-09
h,0.17,479,56,1.24,1.66E-03
h,0.17,493,57,1.21,4.62E-03
h,0.17,483,58,0.91,1.74E-01
h,0.17,439,59,1.03,6.34E-01
h,0.17,494,60,1.24,1.03E-03
h,0.17,464,61,1.01,9.15E-01
h,0.17,438,62,0.98,8.28E-01
h,0.17,430,63,1.5,6.26E-09
h,0.17,363,64,1.02,8.10E-01
h,0.17,506,65,1.55,7.37E-12
h,0.17,351,66,0.95,5.74E-01
h,0.17,403,67,0.85,3.99E-02
h,0.17,386,68,1.07,3.65E-01
h,0.17,253,69,0.51,2.14E-10
h,0.17,410,70,1.53,3.72E-09
h,0.17,339,71,1.36,1.07E-04
h,0.17,295,72,1.1,2.58E-01
h,0.17,364,73,1.43,3.25E-06
h,0.17,304,74,1.03,7.25E-01
h,0.17,343,75,1.39,2.83E-05
h,0.17,315,76,1.33,5.73E-04
h,0.17,235,77,0.77,1.25E-02
h,0.17,289,78,1.18,6.30E-02
h,0.17,252,79,1.24,1.78E-02
h,0.17,276,80,1.18,6.36E-02
h,0.17,266,81,0.82,4.85E-02
h,0.17,238,82,0.95,6.26E-01
h,0.17,219,83,0.81,5.47E-02
h,0.17,280,84,1.51,2.21E-06
h,0.17,186,85,0.72,5.56E-03
h,0.17,260,86,1.27,9.51E-03
h,0.17,196,87,1.06,5.45E-01
h,0.17,431,88,0.67,2.31E-07
h,0.17,185,89,1.54,5.19E-05
h,0.17,212,90,1.43,3.21E-04
h,0.17,260,91,1.21,3.84E-02
h,0.17,201,92,1.78,1.25E-08
h,0.17,153,93,1.29,3.12E-02
h,0.17,199,94,0.74,9.49E-03
h,0.17,251,95,1.94,2.63E-13
h,0.17,172,96,1.37,4.87E-03
h,0.17,215,97,2.0,1.24E-12
h,0.17,125,98,0.45,2.91E-07
h,0.17,311,99,2.88,7.15E-40
h,0.17,158,100,1.21,1.00E-01
h,0.18,139,1,0.91,5.27E-01
h,0.18,87,2,0.44,1.83E-05
h,0.18,773,3,0.61,2.09E-17
h,0.18,597,4,0.54,1.62E-19
h,0.18,650,5,0.62,4.64E-14
h,0.18,984,6,0.74,3.30E-09
h,0.18,1009,7,0.74,1.30E-09
h,0.18,1022,8,0.8,4.22E-06
h,0.18,1022,9,0.79,1.79E-06
h,0.18,1206,10,0.89,8.62E-03
h,0.18,1153,11,0.84,8.27E-05
h,0.18,1117,12,0.89,9.54E-03
h,0.18,1252,13,0.91,2.88E-02
h,0.18,1198,14,0.94,1.56E-01
h,0.18,1246,15,0.86,4.42E-04
h,0.18,1096,16,0.94,2.18E-01
h,0.18,1102,17,0.9,2.02E-02
h,0.18,1223,18,0.92,6.40E-02
h,0.18,1201,19,0.84,1.22E-04
h,0.18,1170,20,0.82,7.76E-06
h,0.18,1168,21,0.96,4.11E-01
h,0.18,1036,22,0.94,2.05E-01
h,0.18,1041,23,0.92,9.32E-02
h,0.18,1051,24,0.99,8.32E-01
h,0.18,1038,25,0.85,6.75E-04
h,0.18,1093,26,1.06,1.89E-01
h,0.18,1188,27,1.18,1.17E-04
h,0.18,1005,28,0.99,8.85E-01
h,0.18,1090,29,0.82,2.10E-05
h,0.18,911,30,0.88,1.04E-02
h,0.18,1176,31,0.96,3.53E-01
h,0.18,960,32,1.06,2.02E-01
h,0.18,863,33,1.11,3.54E-02
h,0.18,1035,34,1.11,2.21E-02
h,0.18,918,35,1.23,2.33E-05
h,0.18,845,36,0.96,5.14E-01
h,0.18,777,37,0.87,1.33E-02
h,0.18,746,38,1.02,6.53E-01
h,0.18,794,39,1.09,9.17E-02
h,0.18,647,40,1.14,2.85E-02
h,0.18,756,41,0.7,4.14E-10
h,0.18,746,42,0.97,6.77E-01
h,0.18,755,43,1.1,8.36E-02
h,0.18,695,44,1.21,7.93E-04
h,0.18,651,45,1.48,5.78E-12
h,0.18,615,46,1.16,1.44E-02
h,0.18,635,47,0.96,5.09E-01
h,0.18,601,48,1.13,4.08E-02
h,0.18,524,49,1.1,1.34E-01
h,0.18,578,50,1.22,1.29E-03
h,0.18,570,51,1.14,3.24E-02
h,0.18,621,52,1.55,5.69E-14
h,0.18,542,53,1.54,5.56E-12
h,0.18,415,54,0.9,1.65E-01
h,0.18,520,55,1.44,9.46E-09
h,0.18,418,56,0.94,4.40E-01
h,0.18,382,57,1.06,4.54E-01
h,0.18,475,58,1.28,2.84E-04
h,0.18,417,59,1.34,5.39E-05
h,0.18,429,60,1.57,1.32E-10
h,0.18,400,61,1.06,4.41E-01
h,0.18,372,62,1.03,6.91E-01
h,0.18,343,63,1.27,2.72E-03
h,0.18,299,64,0.9,2.63E-01
h,0.18,452,65,1.7,3.71E-15
h,0.18,344,66,1.19,2.94E-02
h,0.18,390,67,1.03,6.98E-01
h,0.18,331,68,1.31,6.95E-04
h,0.18,314,69,1.29,2.24E-03
h,0.18,263,70,1.01,8.51E-01
h,0.18,245,71,1.29,6.15E-03
h,0.18,285,72,1.43,3.56E-05
h,0.18,196,73,0.68,8.65E-04
h,0.18,268,74,1.16,1.02E-01
h,0.18,255,75,1.34,1.54E-03
h,0.18,232,76,1.24,2.74E-02
h,0.18,181,77,1.08,4.55E-01
h,0.18,230,78,1.64,2.17E-07
h,0.18,178,79,1.11,3.21E-01
h,0.18,188,80,1.22,5.52E-02
h,0.18,272,81,1.58,1.66E-07
h,0.18,183,82,0.77,3.26E-02
h,0.18,134,83,0.75,4.68E-02
h,0.18,259,84,2.11,4.15E-17
h,0.18,140,85,1.13,3.21E-01
h,0.18,173,86,1.83,2.52E-08
h,0.18,135,87,0.93,6.07E-01
h,0.18,158,88,1.24,6.49E-02
h,0.18,139,89,1.15,2.58E-01
h,0.18,146,90,1.63,4.74E-05
h,0.18,140,91,1.04,7.46E-01
h,0.18,160,92,1.52,2.46E-04
h,0.18,138,93,1.97,2.05E-08
h,0.18,195,94,1.37,2.23E-03
h,0.18,144,95,1.07,5.62E-01
h,0.18,117,96,1.04,7.23E-01
h,0.18,106,97,1.36,3.17E-02
h,0.18,108,98,0.5,3.15E-05
h,0.18,177,99,2.3,5.25E-15
h,0.18,111,100,1.43,9.31E-03
h,0.19,149,1,0.86,2.52E-01
h,0.19,96,2,0.48,5.00E-05
h,0.19,952,3,0.64,9.11E-18
h,0.19,744,4,0.7,6.86E-10
h,0.19,806,5,0.65,5.88E-14
h,0.19,1180,6,0.79,1.49E-07
h,0.19,1207,7,0.84,7.57E-05
h,0.19,1200,8,0.81,1.52E-06
h,0.19,1269,9,0.87,8.95E-04
h,0.19,1364,10,0.89,4.02E-03
h,0.19,1334,11,0.98,6.91E-01
h,0.19,1317,12,0.93,7.38E-02
h,0.19,1385,13,0.83,1.23E-05
h,0.19,1424,14,1.06,1.22E-01
h,0.19,1378,15,0.87,1.30E-03
h,0.19,1316,16,1.08,5.04E-02
h,0.19,1273,17,1.02,7.14E-01
h,0.19,1299,18,0.9,1.05E-02
h,0.19,1304,19,0.9,1.07E-02
h,0.19,1315,20,0.91,2.52E-02
h,0.19,1229,21,0.95,2.89E-01
h,0.19,1237,22,1.03,4.69E-01
h,0.19,1114,23,1.08,7.62E-02
h,0.19,1089,24,0.93,1.44E-01
h,0.19,1087,25,0.8,2.25E-06
h,0.19,1090,26,1.0,9.26E-01
h,0.19,1214,27,1.18,1.05E-04
h,0.19,1065,28,0.95,2.97E-01
h,0.19,1067,29,0.92,6.25E-02
h,0.19,979,30,0.91,5.53E-02
h,0.19,1226,31,0.97,4.60E-01
h,0.19,946,32,1.09,6.80E-02
h,0.19,886,33,1.1,5.91E-02
h,0.19,1063,34,1.21,2.80E-05
h,0.19,972,35,1.29,3.87E-08
h,0.19,786,36,1.0,9.78E-01
h,0.19,794,37,1.06,3.10E-01
h,0.19,715,38,0.95,4.29E-01
h,0.19,758,39,1.11,5.74E-02
h,0.19,628,40,1.11,9.28E-02
h,0.19,785,41,0.74,5.93E-08
h,0.19,732,42,1.08,1.78E-01
h,0.19,624,43,1.13,3.54E-02
h,0.19,651,44,1.14,2.08E-02
h,0.19,621,45,1.31,4.94E-06
h,0.19,547,46,0.86,2.29E-02
h,0.19,541,47,1.02,7.67E-01
h,0.19,567,48,1.09,1.70E-01
h,0.19,528,49,1.18,8.82E-03
h,0.19,466,50,1.16,3.43E-02
h,0.19,497,51,1.12,7.93E-02
h,0.19,517,52,1.69,7.76E-17
h,0.19,357,53,1.17,4.06E-02
h,0.19,414,54,1.04,5.45E-01
h,0.19,405,55,1.19,1.82E-02
h,0.19,390,56,0.96,6.19E-01
h,0.19,344,57,1.01,9.02E-01
h,0.19,434,58,1.42,6.44E-07
h,0.19,422,59,1.58,8.52E-11
h,0.19,407,60,1.6,5.85E-11
h,0.19,326,61,1.15,8.14E-02
h,0.19,343,62,1.04,6.19E-01
h,0.19,330,63,1.44,5.75E-06
h,0.19,247,64,0.82,4.58E-02
h,0.19,367,65,1.81,2.78E-15
h,0.19,279,66,1.09,3.29E-01
h,0.19,284,67,0.89,2.17E-01
h,0.19,270,68,1.23,1.97E-02
h,0.19,289,69,1.47,7.44E-06
h,0.19,238,70,1.12,2.25E-01
h,0.19,216,71,1.23,3.40E-02
h,0.19,262,72,1.69,2.99E-09
h,0.19,236,73,1.14,1.69E-01
h,0.19,232,74,1.35,1.84E-03
h,0.19,212,75,1.33,4.34E-03
h,0.19,206,76,1.44,3.27E-04
h,0.19,162,77,1.34,1.04E-02
h,0.19,158,78,1.41,3.07E-03
h,0.19,144,79,1.17,2.12E-01
h,0.19,156,80,0.98,9.52E-01
h,0.19,122,81,0.43,9.17E-08
h,0.19,138,82,0.92,5.67E-01
h,0.19,128,83,0.98,1.00E+00
h,0.19,205,84,2.52,8.64E-21
h,0.19,111,85,1.07,6.08E-01
h,0.19,147,86,1.89,5.45E-08
h,0.19,86,87,1.37,4.21E-02
h,0.19,141,88,1.29,4.13E-02
h,0.19,127,89,1.5,1.33E-03
h,0.19,117,90,2.01,1.14E-07
h,0.19,85,91,0.87,4.71E-01
h,0.19,114,92,1.86,3.54E-06
h,0.19,103,93,1.44,1.10E-02
h,0.19,172,94,1.57,4.12E-05
h,0.19,107,95,1.38,2.11E-02
h,0.19,164,96,1.89,1.10E-08
h,0.19,47,97,0.61,5.43E-02
h,0.19,69,98,0.7,7.35E-02
h,0.19,169,99,6.3,5.53E-63
h,0.19,45,100,0.95,1.00E+00
h,0.2,170,1,0.85,1.95E-01
h,0.2,114,2,0.47,2.58E-06
h,0.2,1129,3,0.67,3.18E-17
h,0.2,833,4,0.7,1.96E-10
h,0.2,948,5,0.66,1.04E-15
h,0.2,1344,6,0.76,2.43E-10
h,0.2,1383,7,0.81,5.03E-07
h,0.2,1358,8,0.86,2.07E-04
h,0.2,1459,9,0.88,1.62E-03
h,0.2,1512,10,0.89,4.06E-03
h,0.2,1464,11,0.93,9.28E-02
h,0.2,1492,12,0.92,3.66E-02
h,0.2,1535,13,0.88,1.10E-03
h,0.2,1489,14,1.04,3.16E-01
h,0.2,1454,15,0.9,9.88E-03
h,0.2,1425,16,1.06,1.13E-01
