,0
0.33,"rgb(163.33333333333334, 163.33333333333334, 248.33333333333334)"
0.34,"rgb(161.41176470588238, 161.41176470588238, 248.41176470588235)"
0.35,"rgb(159.49019607843138, 159.49019607843138, 248.49019607843135)"
0.36,"rgb(155.64705882352942, 155.64705882352942, 248.64705882352942)"
0.37,"rgb(153.72549019607843, 153.72549019607843, 248.72549019607845)"
0.38,"rgb(151.80392156862746, 151.80392156862746, 248.80392156862746)"
0.39,"rgb(149.88235294117646, 149.88235294117646, 248.8823529411765)"
0.4,"rgb(146.0392156862745, 146.0392156862745, 249.0392156862745)"
0.41,"rgb(144.1176470588236, 144.1176470588236, 249.11764705882354)"
0.42,"rgb(142.19607843137257, 142.19607843137257, 249.19607843137254)"
0.43,"rgb(138.35294117647058, 138.35294117647058, 249.35294117647058)"
0.44,"rgb(136.4313725490196, 136.4313725490196, 249.4313725490196)"
0.45,"rgb(134.50980392156865, 134.50980392156865, 249.50980392156862)"
0.46,"rgb(132.58823529411765, 132.58823529411765, 249.58823529411765)"
0.47,"rgb(128.74509803921572, 128.74509803921572, 249.7450980392157)"
0.48,"rgb(126.82352941176471, 126.82352941176471, 249.82352941176472)"
0.49,"rgb(124.90196078431373, 124.90196078431373, 249.90196078431373)"
0.5,"rgb(121.05882352941178, 121.05882352941178, 250.05882352941177)"
0.51,"rgb(0.0, 0.0, 255.0)"
0.52,"rgb(0.0, 0.0, 255.0)"
0.53,"rgb(0.0, 0.0, 255.0)"
0.54,"rgb(0.0, 0.0, 255.0)"
0.55,"rgb(0.0, 0.0, 255.0)"
0.56,"rgb(0.0, 0.0, 255.0)"
0.57,"rgb(0.0, 0.0, 255.0)"
0.58,"rgb(0.0, 0.0, 255.0)"
0.59,"rgb(0.0, 0.0, 255.0)"
0.6,"rgb(0.0, 0.0, 255.0)"
0.61,"rgb(0.0, 0.0, 255.0)"
0.62,"rgb(0.0, 0.0, 255.0)"
0.63,"rgb(0.0, 0.0, 255.0)"
0.64,"rgb(0.0, 0.0, 255.0)"
0.65,"rgb(0.0, 0.0, 255.0)"
0.66,"rgb(0.0, 0.0, 255.0)"
0.67,"rgb(0.0, 0.0, 255.0)"
0.68,"rgb(0.0, 0.0, 255.0)"
0.69,"rgb(0.0, 0.0, 255.0)"
0.7,"rgb(0.0, 0.0, 255.0)"
0.71,"rgb(0.0, 0.0, 255.0)"
0.72,"rgb(0.0, 0.0, 255.0)"
0.73,"rgb(0.0, 0.0, 255.0)"
0.74,"rgb(0.0, 0.0, 255.0)"
